id,match_number,home_team_id,away_team_id,city_id,stage_id,kickoff_at,match_label,real_score_a,real_score_b,real_advanced_team_id,is_locked
1,1,1.0,2.0,15,1,2026-06-12 04:00,Group A,,,,False
2,2,3.0,4.0,14,1,2026-06-12 11:00,Group A,,,,False
3,3,5.0,6.0,12,1,2026-06-13 02:00,Group B,,,,True
4,4,13.0,14.0,6,1,2026-06-13 11:00,Group D,,,,True
5,5,7.0,8.0,10,1,2026-06-14 05:00,Group B,,,,True
6,6,9.0,10.0,8,1,2026-06-14 05:00,Group C,,,,True
7,7,11.0,12.0,2,1,2026-06-14 08:00,Group C,,,,True
8,8,15.0,16.0,13,1,2026-06-14 14:00,Group D,,,,True
9,9,17.0,18.0,4,1,2026-06-15 01:00,Group E,,,,False
10,10,21.0,22.0,3,1,2026-06-15 04:00,Group F,,,,False
11,11,19.0,20.0,9,1,2026-06-15 06:00,Group E,,,,False
12,12,23.0,24.0,16,1,2026-06-15 11:00,Group F,,,,False
13,13,29.0,30.0,1,1,2026-06-15 23:00,Group H,,,,False
14,14,25.0,26.0,11,1,2026-06-16 05:00,Group G,,,,False
15,15,31.0,32.0,7,1,2026-06-16 05:00,Group H,,,,False
16,16,27.0,28.0,6,1,2026-06-16 11:00,Group G,,,,False
17,17,33.0,34.0,8,1,2026-06-17 02:00,Group I,,,,False
18,18,35.0,36.0,2,1,2026-06-17 05:00,Group I,,,,False
19,19,37.0,38.0,5,1,2026-06-17 09:00,Group J,,,,False
20,20,39.0,40.0,10,1,2026-06-17 14:00,Group J,,,,False
21,21,41.0,42.0,4,1,2026-06-18 01:00,Group K,,,,False
22,22,45.0,46.0,3,1,2026-06-18 04:00,Group L,,,,False
23,23,47.0,48.0,12,1,2026-06-18 06:00,Group L,,,,False
24,24,43.0,44.0,15,1,2026-06-18 11:00,Group K,,,,False
25,25,4.0,2.0,1,1,2026-06-18 23:00,Group A,,,,False
26,26,8.0,6.0,6,1,2026-06-19 05:00,Group B,,,,False
27,27,5.0,7.0,13,1,2026-06-19 08:00,Group B,,,,False
28,28,1.0,3.0,14,1,2026-06-19 10:00,Group A,,,,False
29,29,13.0,15.0,11,1,2026-06-20 05:00,Group D,,,,False
30,30,12.0,10.0,2,1,2026-06-20 05:00,Group C,,,,False
31,31,9.0,11.0,9,1,2026-06-20 08:00,Group C,,,,False
32,32,16.0,14.0,10,1,2026-06-20 14:00,Group D,,,,False
33,33,21.0,23.0,4,1,2026-06-21 01:00,Group F,,,,False
34,34,17.0,19.0,12,1,2026-06-21 03:00,Group E,,,,False
35,35,20.0,18.0,5,1,2026-06-21 08:00,Group E,,,,False
36,36,24.0,22.0,16,1,2026-06-21 13:00,Group F,,,,False
37,37,29.0,31.0,1,1,2026-06-21 23:00,Group H,,,,False
38,38,25.0,27.0,6,1,2026-06-22 05:00,Group G,,,,False
39,39,32.0,30.0,7,1,2026-06-22 05:00,Group H,,,,False
40,40,28.0,26.0,13,1,2026-06-22 11:00,Group G,,,,False
41,41,37.0,39.0,3,1,2026-06-23 01:00,Group J,,,,False
42,42,33.0,35.0,9,1,2026-06-23 04:00,Group I,,,,False
43,43,36.0,34.0,8,1,2026-06-23 07:00,Group I,,,,False
44,44,40.0,38.0,10,1,2026-06-23 13:00,Group J,,,,False
45,45,41.0,43.0,4,1,2026-06-24 01:00,Group K,,,,False
46,46,45.0,47.0,2,1,2026-06-24 03:00,Group L,,,,False
47,47,48.0,46.0,12,1,2026-06-24 06:00,Group L,,,,False
48,48,44.0,42.0,14,1,2026-06-24 11:00,Group K,,,,False
49,49,8.0,5.0,13,1,2026-06-25 05:00,Group B,,,,False
50,50,6.0,7.0,11,1,2026-06-25 05:00,Group B,,,,False
51,51,12.0,9.0,7,1,2026-06-25 05:00,Group C,,,,False
52,52,10.0,11.0,1,1,2026-06-25 05:00,Group C,,,,False
53,53,4.0,1.0,15,1,2026-06-25 10:00,Group A,,,,False
54,54,2.0,3.0,16,1,2026-06-25 10:00,Group A,,,,False
55,55,18.0,19.0,9,1,2026-06-26 03:00,Group E,,,,False
56,56,20.0,17.0,8,1,2026-06-26 03:00,Group E,,,,False
57,57,22.0,23.0,3,1,2026-06-26 07:00,Group F,,,,False
58,58,24.0,21.0,5,1,2026-06-26 07:00,Group F,,,,False
59,59,16.0,13.0,6,1,2026-06-26 12:00,Group D,,,,False
60,60,14.0,15.0,10,1,2026-06-26 12:00,Group D,,,,False
61,61,36.0,33.0,2,1,2026-06-27 02:00,Group I,,,,False
62,62,34.0,35.0,12,1,2026-06-27 02:00,Group I,,,,False
63,63,30.0,31.0,4,1,2026-06-27 08:00,Group H,,,,False
64,64,32.0,29.0,14,1,2026-06-27 09:00,Group H,,,,False
65,65,26.0,27.0,11,1,2026-06-27 13:00,Group G,,,,False
66,66,28.0,25.0,13,1,2026-06-27 13:00,Group G,,,,False
67,67,48.0,45.0,8,1,2026-06-28 04:00,Group L,,,,False
68,68,46.0,47.0,9,1,2026-06-28 04:00,Group L,,,,False
69,69,44.0,41.0,7,1,2026-06-28 06:30,Group K,,,,False
70,70,42.0,43.0,1,1,2026-06-28 06:30,Group K,,,,False
71,71,38.0,39.0,5,1,2026-06-28 10:00,Group J,,,,False
72,72,40.0,37.0,3,1,2026-06-28 10:00,Group J,,,,False
73,73,,,6,2,2026-06-29 05:00,2A vs 2B,,,,False
74,74,,,4,2,2026-06-30 01:00,1C vs 2F,,,,False
75,75,,,2,2,2026-06-30 03:30,1E vs 3ABCDF,,,,False
76,76,,,16,2,2026-06-30 10:00,1F vs 2C,,,,False
77,77,,,3,2,2026-07-01 01:00,2E vs 2I,,,,False
78,78,,,8,2,2026-07-01 04:00,1I vs 3CDFGH,,,,False
79,79,,,15,2,2026-07-01 10:00,1A vs 3CEFHI,,,,False
80,80,,,1,2,2026-07-01 23:00,1L vs 3EHIJK,,,,False
81,81,,,11,2,2026-07-02 06:00,1G vs 3AEHIJ,,,,False
82,82,,,10,2,2026-07-02 10:00,1D vs 3BEFIJ,,,,False
83,83,,,6,2,2026-07-03 05:00,1H vs 2J,,,,False
84,84,,,12,2,2026-07-03 06:00,2K vs 2L,,,,False
85,85,,,13,2,2026-07-03 13:00,1B vs 3EFGIJ,,,,False
86,86,,,3,2,2026-07-04 02:00,2D vs 2G,,,,False
87,87,,,7,2,2026-07-04 05:00,1J vs 2H,,,,False
88,88,,,5,2,2026-07-04 09:30,1K vs 3DEIJL,,,,False
89,89,,,4,3,2026-07-05 01:00,W73 vs W75,,,,False
90,90,,,9,3,2026-07-05 04:00,W74 vs W77,,,,False
91,91,,,8,3,2026-07-06 03:00,W76 vs W78,,,,False
92,92,,,15,3,2026-07-06 09:00,W79 vs W80,,,,False
93,93,,,3,3,2026-07-07 03:00,W83 vs W84,,,,False
94,94,,,11,3,2026-07-07 10:00,W81 vs W82,,,,False
95,95,,,1,3,2026-07-07 23:00,W86 vs W88,,,,False
96,96,,,13,3,2026-07-08 06:00,W85 vs W87,,,,False
97,97,,,2,4,2026-07-10 03:00,W89 vs W90,,,,False
98,98,,,6,4,2026-07-11 05:00,W93 vs W94,,,,False
99,99,,,7,4,2026-07-12 04:00,W91 vs W92,,,,False
100,100,,,5,4,2026-07-12 09:00,W95 vs W100,,,,False
101,101,,,3,5,2026-07-15 03:00,W97 vs W98,,,,False
102,102,,,1,5,2026-07-16 02:00,W99 vs W100,,,,False
103,103,,,7,6,2026-07-19 04:00,RU101 vs RU102,,,,False
104,104,,,8,7,2026-07-20 02:00,W101 vs W102,,,,False
